Authors,Data type,In/OFF clinic,ML/DL,Meds ON/OFF,Modality,N,Sample size,Scale versio,Scale version,Sensor-Placement,Type of Ground truth,Wearable,Year,fn,fp,studyid,tn,tp
Ziogas et al.,1D (Time-Series),In clinic,ML,Off,Inertial - IMU,14,N<60,MDS-UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2023,0,1,68,7,6
Ziogas et al.,1D (Time-Series),In clinic,ML,Off,Inertial - IMU,14,N<60,MDS-UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2023,1,0,69,8,5
Li et al.,2D,In clinic,ML,ON,Vision - Camera,50,N<60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2022,2,4,70,11,33
Li et al.,2D,In clinic,ML,ON,Vision - Camera,50,N<60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2022,2,9,71,10,29
Li et al.,2D,In clinic,ML,ON,Vision - Camera,50,N<60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2022,1,8,72,10,31
Lu et al.,2D,In clinic,DL,OFF,Vision - Camera,55,N<60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2021,10,9,73,18,18
Lu et al.,2D,In clinic,DL,OFF,Vision - Camera,55,N<60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2021,9,9,74,19,18
Lu et al.,2D,In clinic,DL,OFF,Vision - Camera,55,N<60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2021,10,9,75,18,18
Lu et al.,2D,In clinic,ML,OFF,Vision - Camera,55,N<60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2021,14,15,76,14,12
Pan et al.,1D,In clinic,ML,NR,Inertial sensor,43,N<60,,UPDRS,Multiple,Standardized Clinical Scale,Wearable,2015,4,7,77,13,19
Buongiorno et al.,3D,In clinic,ML,NR,Vision - Camera,32,N<60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2019,5,1,78,17,9
Buongiorno et al.,3D,In clinic,ML,NR,Vision - Camera,32,N<60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2019,3,1,79,17,11
Buongiorno et al.,3D,In clinic,ML,NR,Vision - Camera,32,N<60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2019,3,1,80,17,11
Buongiorno et al.,3D,In clinic,ML,NR,Vision - Camera,32,N<60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2019,1,0,81,18,13
Buongiorno et al.,3D,In clinic,ML,NR,Vision - Camera,32,N<60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2019,0,18,82,0,14
Buongiorno et al.,3D,In clinic,ML,NR,Vision - Camera,32,N<60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2019,2,4,83,14,12
Buongiorno et al.,3D,In clinic,ML,NR,Vision - Camera,32,N<60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2019,2,6,84,12,12
Guo et al.,3D,In clinic,DL,Mixed,Vision - Camera,441,N≥60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2022,76,100,85,147,118
Guo et al.,3D,In clinic,DL,Mixed,Vision - Camera,441,N≥60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2022,9,15,86,371,46
Guo et al.,3D,In clinic,DL,Mixed,Vision - Camera,441,N≥60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2022,86,46,87,241,68
Guo et al.,3D,In clinic,DL,Mixed,Vision - Camera,441,N≥60,,MDS-UPDRS,Vision-Based (non-contact),Standardized Clinical Scale,Non-wearable,2022,11,10,88,393,27
Kim et al.,2D,In clinic,ML,ON,Vision - Camera,282,N≥60,,MDS-UPDRS,Lower limb,Standardized Clinical Scale,Wearable,2024,24,1,89,206,51
Kim et al.,2D,In clinic,ML,ON,Vision - Camera,98,N≥60,,MDS-UPDRS,Lower limb,Standardized Clinical Scale,Wearable,2024,5,0,90,83,10
